ticker,report_date,report_type,company_name,source_url
POLB,2026-09-18,INTERIM,Poolbeg Pharma PLC,https://quartr.com/companies/poolbeg-pharma-plc_19896?utm_source=api&utm_medium=25
BIG,2026-09-18,INTERIM,Big Technologies PLC,https://quartr.com/companies/big-technologies-plc_15244?utm_source=api&utm_medium=25
JSE,2026-09-18,INTERIM,Jadestone Energy PLC,https://quartr.com/companies/jadestone-energy-plc_15113?utm_source=api&utm_medium=25
FNX,2026-09-21,PRELIM,Fonix Plc,https://quartr.com/companies/fonix-plc_19686?utm_source=api&utm_medium=25
PXEN,2026-09-21,INTERIM,Prospex Energy PLC,https://quartr.com/companies/prospex-energy-plc_21438?utm_source=api&utm_medium=25
BOOT,2026-09-22,INTERIM,Henry Boot PLC,https://quartr.com/companies/henry-boot-plc_14183?utm_source=api&utm_medium=25
KGF,2026-09-22,INTERIM,Kingfisher PLC,https://quartr.com/companies/kingfisher-plc_5569?utm_source=api&utm_medium=25
NFG,2026-09-22,INTERIM,Next 15 Group PLC,https://quartr.com/companies/next-15-group-plc_16326?utm_source=api&utm_medium=25
KIST,2026-09-22,INTERIM,Kistos Holdings PLC,https://quartr.com/companies/kistos-holdings-plc_13418?utm_source=api&utm_medium=25
LUCE,2026-09-22,INTERIM,Luceco PLC,https://quartr.com/companies/luceco-plc_17907?utm_source=api&utm_medium=25
KETL,2026-09-22,INTERIM,Strix Group PLC,https://quartr.com/companies/strix-group-plc_15466?utm_source=api&utm_medium=25
OXB,2026-09-22,INTERIM,Oxford BioMedica PLC,https://quartr.com/companies/oxford-biomedica-plc_14137?utm_source=api&utm_medium=25
RPI,2026-09-22,INTERIM,Raspberry Pi Holdings PLC,https://quartr.com/companies/raspberry-pi-holdings-plc_17021?utm_source=api&utm_medium=25
WPC,2026-09-23,INTERIM,Witan Pacific Investment Trust PLC,https://quartr.com/companies/baillie-gifford-china-growth-trust-plc_15637?utm_source=api&utm_medium=25
JD,2026-09-23,INTERIM,JD Sports Fashion PLC,https://quartr.com/companies/jd-sports-fashion-plc_12439?utm_source=api&utm_medium=25
AEET,2026-09-23,INTERIM,Aquila Energy Efficiency Trust PLC,https://quartr.com/companies/aquila-energy-efficiency-trust-plc_16432?utm_source=api&utm_medium=25
DXRX,2026-09-23,INTERIM,Diaceutics PLC,https://quartr.com/companies/diaceutics-plc_16329?utm_source=api&utm_medium=25
PINE,2026-09-23,INTERIM,Pinewood Technologies Group PLC,https://quartr.com/companies/pinewood-technologies-group-plc_14159?utm_source=api&utm_medium=25
ENQ,2026-09-23,INTERIM,EnQuest PLC,https://quartr.com/companies/enquest-plc_14239?utm_source=api&utm_medium=25
GRID,2026-09-23,INTERIM,Gresham House Energy Storage Fund PLC,https://quartr.com/companies/gresham-house-energy-storage-fund-plc_15090?utm_source=api&utm_medium=25
AFP,2026-09-23,INTERIM,African Pioneer PLC,https://quartr.com/companies/african-pioneer-plc_14282?utm_source=api&utm_medium=25
KEYS,2026-09-23,INTERIM,Keystone Law Group PLC,https://quartr.com/companies/keystone-law-group-plc_14748?utm_source=api&utm_medium=25
EMAN,2026-09-24,INTERIM,Everyman Media Group PLC,https://quartr.com/companies/everyman-media-group_20703?utm_source=api&utm_medium=25
CHAR,2026-09-24,INTERIM,Chariot Ltd.,https://quartr.com/companies/chariot-limited_15974?utm_source=api&utm_medium=25
HLMA,2026-09-24,TRADING_STMT,Halma PLC,https://quartr.com/companies/halma-plc_11991?utm_source=api&utm_medium=25
ANCR,2026-09-24,INTERIM,Animalcare Group PLC,https://quartr.com/companies/animalcare-group-plc_20382?utm_source=api&utm_medium=25
CVSG,2026-09-24,PRELIM,CVS Group PLC,https://quartr.com/companies/cvs-group-plc_15955?utm_source=api&utm_medium=25
